",""IE_4_5.1"",""IE_4_5.2"",""IE_4_5.3"",""IE_4_5.4"",""IE_4_5.5"",""IE_4_5.6"",""IE_4_5.7"",""IE_4_5.8"",""IE_4_5.9"",""IE_4_5.10"",""IE_4_5.11"",""IE_4_5.12"",""IE_4_5.13"",""IE_4_5.14"",""IE_4_5.15"",""IE_4_5.16"",""IE_4_5.17"""
ABR 2000,1983994,-160381,-7.48,-12.64,-6.47,-12.33,-6.22,-10.98,-4.34,-5.09,957860,-8.18,9.82,18.41,90.18,946160,-6.02
MAY 2000,1929028,-147914,-7.12,-12.41,-6.08,-9.41,-5.93,-11.43,-4.84,-4.42,1223112,8.32,8.77,17.66,91.23,1206642,13.08
JUN 2000,1903053,-142897,-6.98,-11.72,-6.03,-13.19,-5.70,-11.60,-5.62,-3.88,1198715,6.20,8.09,18.06,91.91,1180237,8.74
JUL 2000,1892683,-88274,-4.46,-10.02,-3.36,-10.10,-3.06,-9.67,-4.34,-0.74,1171597,0.73,7.54,18.98,92.46,1158346,2.44
AGO 2000,1888386,-92580,-4.67,-8.79,-3.90,-10.94,-3.61,-9.91,-4.81,-1.31,1013339,8.94,7.31,17.64,92.69,1001266,9.72
SEP 2000,1908120,-94432,-4.72,-8.01,-4.09,-9.29,-3.87,-9.64,-4.75,-1.95,1214822,1.25,8.81,19.02,91.19,1199833,2.34
OCT 2000,1934130,-85838,-4.25,-7.96,-3.55,-8.28,-3.36,-9.14,-4.08,-1.53,1359821,10.38,9.06,21.62,90.94,1339537,11.20
NOV 2000,1962794,-93015,-4.52,-9.22,-3.65,-10.92,-3.36,-9.21,-3.67,-1.64,1266286,8.30,9.03,19.95,90.97,1243117,9.25
DIC 2000,1947242,-80740,-3.98,-9.88,-2.93,-9.56,-2.68,-8.19,-2.83,-1.02,977022,-9.48,8.92,18.71,91.08,963207,-7.79
ENE 2001,2017389,-72646,-3.48,-9.88,-2.37,-14.32,-1.89,-7.68,-1.27,-0.36,1197711,6.17,8.95,16.46,91.05,1181638,6.15
FEB 2001,1993274,-86478,-4.16,-10.00,-3.12,-24.80,-2.23,-6.56,-1.85,-1.08,1094045,-1.79,9.55,17.11,90.45,1080261,-1.22
MAR 2001,1981006,-61326,-3.00,-10.39,-1.66,-18.96,-0.96,-5.89,-0.66,0.38,1116527,-7.28,7.87,17.15,92.13,1101850,-6.65
ABR 2001,1910453,-73541,-3.71,-11.54,-2.27,-5.46,-2.14,-7.74,-2.63,-0.44,1011926,5.64,10.28,17.78,89.72,979056,3.48
MAY 2001,1898285,-30743,-1.59,-10.05,-0.03,-6.34,0.23,-4.84,0.34,1.68,1235272,0.99,11.58,18.92,88.42,1167185,-3.27
JUN 2001,1842556,-60497,-3.18,-10.86,-1.72,-18.36,-1.02,-4.48,-1.61,0.07,1188985,-0.81,9.47,19.46,90.53,1138315,-3.55
JUL 2001,1835738,-56945,-3.01,-11.29,-1.49,-17.93,-0.82,-4.65,0.06,0.12,1258279,7.40,8.15,20.73,91.85,1213544,4.77
AGO 2001,1878513,-9873,-0.52,-10.42,1.24,-13.74,1.81,-2.66,3.59,2.81,1061690,4.77,8.09,19.87,91.91,1021465,2.02
SEP 2001,1889185,-18935,-0.99,-9.82,0.62,-16.88,1.30,-1.15,2.16,1.83,1130641,-6.93,8.67,20.71,91.33,1100069,-8.31
OCT 2001,1940909,6779,0.35,-7.07,1.68,-17.01,2.40,0.54,2.45,2.90,1477473,8.65,9.78,23.12,90.22,1420852,6.07
NOV 2001,1985857,23063,1.18,-5.71,2.38,-13.78,2.99,2.88,2.76,3.05,1324421,4.59,9.52,21.68,90.48,1271763,2.30
DIC 2001,1988715,41473,2.13,-3.81,3.11,-12.22,3.65,3.00,3.91,3.78,959514,-1.79,9.17,20.83,90.83,921409,-4.34
ENE 2002,2075022,57633,2.86,-3.68,3.90,-9.42,4.36,3.92,3.08,4.71,1270019,6.04,8.69,18.57,91.31,1227237,3.86
FEB 2002,2149908,156634,7.86,-2.77,9.61,20.87,9.26,6.61,6.08,10.53,1139766,4.18,10.02,19.23,89.98,1107676,2.54
MAR 2002,2083103,102097,5.15,-2.39,6.41,3.04,6.52,6.00,9.48,6.14,1000369,-10.40,10.64,19.47,89.36,964180,-12.49
ABR 2002,2060070,149617,7.83,1.75,8.84,-7.81,9.48,7.82,9.30,9.96,1247220,23.25,10.14,19.75,89.86,1200475,22.62
MAY 2002,2002924,104639,5.51,1.50,6.18,-11.85,6.88,5.29,7.88,7.14,1238066,0.23,9.40,20.20,90.60,1190397,1.99
JUN 2002,1962963,120407,6.53,3.41,7.07,3.02,7.21,4.22,10.26,7.49,1074375,-9.64,8.86,20.27,91.14,1036645,-8.93
JUL 2002,1961852,126114,6.87,2.55,7.58,4.77,7.68,4.98,9.83,8.03,1317913,4.74,7.72,21.48,92.28,1280632,5.53
AGO 2002,1983982,105469,5.61,0.89,6.36,2.57,6.48,3.48,6.79,7.27,1019106,-4.01,7.73,20.49,92.27,991775,-2.91
SEP 2002,2006786,117601,6.22,0.98,7.08,5.88,7.12,3.91,9.11,7.64,1186710,4.96,8.78,21.41,91.22,1153144,4.82
OCT 2002,2064512,123603,6.37,1.42,7.18,7.68,7.16,3.83,9.32,7.68,1545378,4.60,9.17,23.74,90.83,1497125,5.37
NOV 2002,2117144,131287,6.61,1.94,7.37,5.81,7.41,3.03,10.42,8.05,1181989,-10.75,9.01,22.75,90.99,1151978,-9.42
DIC 2002,2127018,138303,6.95,1.43,7.81,3.06,7.95,3.37,15.26,7.81,958337,-0.12,8.48,22.22,91.52,936052,1.59
ENE 2003,2185156,110134,5.31,1.76,5.83,-2.76,6.09,2.07,10.46,6.35,1355698,6.75,8.95,18.92,91.05,1312754,6.97
FEB 2003,2180216,30308,1.41,1.40,1.41,-15.74,2.01,-0.27,8.01,1.57,1197509,5.07,10.03,19.51,89.97,1153997,4.18
MAR 2003,2163498,80395,3.86,2.96,4.00,-4.09,4.26,0.58,5.26,5.04,1127638,12.72,10.27,20.31,89.73,1086582,12.69
ABR 2003,2104475,44405,2.16,0.56,2.40,-6.48,2.69,1.51,6.20,2.37,1052755,-15.59,10.22,19.91,89.78,1013609,-15.57
MAY 2003,2035601,32677,1.63,-0.60,1.99,-7.57,2.29,0.55,4.49,2.36,1196038,-3.39,9.06,19.85,90.94,1159919,-2.56
JUN 2003,2020367,57404,2.92,-0.39,3.47,-8.78,3.89,1.34,6.94,4.01,1199220,11.62,8.29,20.37,91.71,1161701,12.06
JUL 2003,1995964,34112,1.74,-1.15,2.19,-8.52,2.54,-0.68,5.98,2.77,1301862,-1.22,7.37,21.93,92.63,1269788,-0.85
AGO 2003,2016675,32693,1.65,-1.05,2.05,-9.72,2.42,-1.25,5.96,2.74,970553,-4.76,6.96,21.02,93.04,952934,-3.92
SEP 2003,2039630,32844,1.64,-1.26,2.08,-11.27,2.50,-0.56,5.85,2.70,1283644,8.17,8.08,22.36,91.92,1267798,9.94
OCT 2003,2096606,32094,1.55,-2.36,2.16,-11.26,2.58,-1.01,5.78,2.94,1557842,0.81,8.51,24.14,91.49,1528802,2.12
NOV 2003,2143206,26062,1.23,-2.91,1.87,-8.71,2.19,-1.34,5.08,2.57,1288834,9.04,8.31,23.13,91.69,1277742,10.92
DIC 2003,2181248,54230,2.55,-2.40,3.27,-1.38,3.40,-1.01,6.96,3.83,1136470,18.59,7.94,23.10,92.06,1128735,20.58
ENE 2004,2232560,47404,2.17,-2.28,2.80,-0.01,2.88,-1.39,3.77,3.79,1390153,2.54,8.18,18.63,91.82,1377754,4.95
FEB 2004,2219300,39084,1.79,-3.43,2.56,-0.82,2.66,-2.24,3.89,3.66,1382830,15.48,9.71,20.93,90.29,1370063,18.72
MAR 2004,2181546,18048,0.83,-4.43,1.63,-0.02,1.68,-3.05,3.46,2.55,1420641,25.98,10.20,22.19,89.80,1409227,29.69
ABR 2004,2162405,57930,2.75,-2.65,3.57,2.29,3.61,-2.53,4.48,5.05,1256809,19.38,10.09,21.94,89.91,1233538,21.70
MAY 2004,2090702,55101,2.71,-4.18,3.77,4.92,3.74,-2.19,5.49,4.96,1278684,6.91,9.60,22.11,90.40,1252842,8.01
JUN 2004,2054113,33746,1.67,-5.06,2.74,4.93,2.68,-2.48,2.98,3.96,1391623,16.04,8.43,22.30,91.57,1350173,16.22
JUL 2004,2014218,18254,0.91,-5.29,1.86,4.25,1.79,-2.80,2.20,2.89,1486989,14.22,7.45,23.45,92.55,1450449,14.23
AGO 2004,2049639,32964,1.63,-4.78,2.56,5.40,2.48,-1.96,3.32,3.48,1125142,15.93,7.23,22.01,92.77,1111323,16.62
SEP 2004,2050514,10884,0.53,-5.52,1.44,4.81,1.35,-2.87,1.73,2.35,1475755,14.97,8.36,24.18,91.64,1444839,13.96
OCT 2004,2075811,-20795,-0.99,-7.20,-0.07,3.58,-0.17,-3.62,0.85,0.50,1472055,-5.51,8.68,26.26,91.32,1433957,-6.20
NOV 2004,2121089,-22117,-1.03,-7.07,-0.15,3.59,-0.25,-4.00,0.74,0.47,1446781,12.26,8.63,24.87,91.37,1414016,10.67
DIC 2004,2112715,-68533,-3.14,-8.16,-2.45,-0.05,-2.52,-5.32,-5.66,-1.16,1223322,7.64,7.49,23.64,92.51,1182922,4.80
ENE 2005,2176599,-55961,-2.51,-17.85,-0.43,9.01,-0.68,-2.94,1.79,-0.60,1284958,-7.57,9.30,20.17,90.70,1255247,-8.89
FEB 2005,2165420,-53880,-2.43,-17.76,-0.31,2.18,-0.38,-2.31,1.55,-0.28,1230315,-11.03,10.98,21.72,89.02,1175183,-14.22
MAR 2005,2144835,-36711,-1.68,-17.96,0.63,5.07,0.50,-0.36,3.59,0.14,1307345,-7.97,10.76,22.91,89.24,1247743,-11.46
ABR 2005,2095945,-66460,-3.07,-17.26,-1.04,3.38,-1.17,-2.30,-1.20,-0.90,1322797,5.25,10.07,22.68,89.93,1277504,3.56
MAY 2005,2007393,-83309,-3.98,-12.88,-2.72,7.28,-3.01,-2.26,-5.37,-2.75,1429695,11.81,9.40,22.85,90.60,1374745,9.73
JUN 2005,1974860,-79253,-3.86,-12.26,-2.62,10.36,-3.01,-2.48,-5.48,-2.68,1566969,12.60,8.49,22.88,91.51,1559594,15.51
