",""IE_9_4.1"",""IE_9_4.2"",""IE_9_4.3"",""IE_9_4.4"",""IE_9_4.5"",""IE_9_4.6"",""IE_9_4.7"",""IE_9_4.8"",""IE_9_4.9"",""IE_9_4.10"",""IE_9_4.11"",""IE_9_4.12"",""IE_9_4.13"",""IE_9_4.14"""
NÚMERO SECUENCIAL,2533931,2533930,2628713,2533932,2533929,2533959,2534002,2628712,2533967,2533872,2533871,2534006,2535772,2533873
"DESCRIPCIÓN DE LA SERIE,""Competitividad de España. IPP  . Frente a UE28 (UEM19)."",""Competitividad de España. IPC  . Frente a UE28 (UEM19)."",""Competitividad de España. Costes totales. Frente a ue28. mensual (UEM19)"",""Competitividad de España . IPX  . Frente a UE28 (UEM19)."",""Índice de posición efectiva nominal de España. Frente a UE28 (UEM19)"",""Competitividad de España.IPP relativo. Frente a ue28 (UEM19)."",""Competitividad de España.IPC relativo. Frente a ue28 (UEM19)."",""Competitividad de España.Costes laborales relativos unitarios totales.ue28.mensual (UEM19)"",""Competitividad de España .IPX relativo. Frente a ue28 (UEM19)."",""Competitividad de España  IPP  . Frente a UM19."",""Competitividad de España  IPC  . Frente a UM19."",""Competitividad de España. Costes totales. Frente a UM19. mensual."",""Competitividad de España. Costes manufacturas. Frente a UM19. mensual."",""Competitividad de España  IPX  . Frente a UM19."""
"DESCRIPCIÓN DE LAS UNIDADES,""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"",""Base primer trimestre de 1999 = 100"""
"ENE 2012,109.88,108.76,""_"",102.54,101.89,107.84,106.73,""_"",101.00,109.88,109.11,""_"",""_"",104.57"
"FEB 2012,109.96,107.89,""_"",102.87,101.74,108.08,106.05,""_"",101.48,110.07,108.38,""_"",""_"",104.95"
MAR 2012,110.33,109.21,107.33,102.70,101.69,108.50,107.40,105.46,101.36,110.51,109.65,108.72,121.44,104.77
"ABR 2012,110.22,109.91,""_"",102.14,101.60,108.49,108.18,""_"",100.90,110.52,110.47,""_"",""_"",104.26"
"MAY 2012,110.04,109.76,""_"",102.35,101.54,108.37,108.09,""_"",101.16,110.43,110.41,""_"",""_"",104.40"
JUN 2012,109.73,109.61,105.69,102.59,101.56,108.04,107.93,104.07,101.37,110.07,110.22,107.20,120.78,104.65
"JUL 2012,109.91,108.66,""_"",101.48,101.22,108.59,107.35,""_"",100.62,110.57,109.68,""_"",""_"",103.58"
"AGO 2012,110.24,108.56,""_"",102.94,101.06,109.08,107.42,""_"",102.23,111.05,109.73,""_"",""_"",105.13"
SEP 2012,110.54,110.43,104.13,103.36,101.23,109.20,109.09,102.93,102.48,111.18,111.43,106.12,119.72,105.48
"OCT 2012,110.41,110.82,""_"",103.39,101.34,108.95,109.35,""_"",102.39,110.93,111.73,""_"",""_"",105.47"
"NOV 2012,110.18,110.73,""_"",102.71,101.35,108.71,109.26,""_"",101.72,110.70,111.68,""_"",""_"",104.80"
DIC 2012,110.20,110.43,100.91,103.58,101.43,108.65,108.87,99.55,102.49,110.65,111.25,102.61,117.51,105.60
"ENE 2013,110.74,109.54,""_"",102.08,101.69,108.91,107.72,""_"",100.76,110.94,110.21,""_"",""_"",104.08"
"FEB 2013,111.28,109.34,""_"",102.44,101.96,109.15,107.24,""_"",100.84,111.25,109.71,""_"",""_"",104.44"
MAR 2013,111.12,110.40,104.03,102.60,101.95,108.99,108.29,102.13,101.00,111.17,110.65,105.10,117.51,104.65
"ABR 2013,110.79,110.49,""_"",101.49,101.86,108.76,108.47,""_"",100.00,110.93,110.90,""_"",""_"",103.48"
"MAY 2013,110.81,110.48,""_"",101.38,101.87,108.78,108.46,""_"",99.89,110.95,110.88,""_"",""_"",103.24"
JUN 2013,110.77,110.68,103.39,102.04,102.00,108.59,108.51,101.46,100.41,110.80,110.90,104.63,117.22,103.90
"JUL 2013,110.83,109.83,""_"",101.32,102.09,108.56,107.59,""_"",99.61,110.79,110.01,""_"",""_"",103.08"
"AGO 2013,110.73,109.93,""_"",100.92,102.06,108.49,107.71,""_"",99.24,110.72,110.13,""_"",""_"",102.71"
SEP 2013,110.46,110.28,103.34,100.65,101.90,108.40,108.23,101.30,99.14,110.63,110.65,104.38,115.11,102.68
"OCT 2013,110.38,110.46,""_"",101.07,101.91,108.31,108.40,""_"",99.54,110.49,110.86,""_"",""_"",103.00"
"NOV 2013,110.25,110.56,""_"",100.58,101.93,108.16,108.47,""_"",99.04,110.36,110.92,""_"",""_"",102.54"
DIC 2013,110.01,110.23,102.73,100.72,101.98,107.88,108.09,100.78,99.13,110.07,110.53,103.81,115.36,102.55
"ENE 2014,109.99,109.08,""_"",100.71,101.88,107.96,107.07,""_"",99.22,110.22,109.62,""_"",""_"",102.47"
"FEB 2014,109.90,108.46,""_"",100.57,101.89,107.86,106.44,""_"",99.07,110.13,108.96,""_"",""_"",102.34"
MAR 2014,110.07,109.52,101.63,100.13,101.97,107.94,107.40,99.72,98.55,110.24,109.82,102.76,115.62,101.89
"ABR 2014,110.01,110.02,""_"",99.66,101.92,107.94,107.95,""_"",98.14,110.17,110.41,""_"",""_"",101.48"
"MAY 2014,109.94,109.97,""_"",99.80,101.80,108.00,108.03,""_"",98.40,110.22,110.50,""_"",""_"",101.63"
JUN 2014,110.02,109.68,101.90,99.71,101.67,108.21,107.87,100.11,98.43,110.43,110.35,103.11,116.38,101.49
"JUL 2014,110.01,108.39,""_"",99.52,101.62,108.26,106.66,""_"",98.30,110.48,109.17,""_"",""_"",101.28"
"AGO 2014,110.05,108.41,""_"",99.82,101.71,108.19,106.58,""_"",98.50,110.42,109.06,""_"",""_"",101.55"
SEP 2014,110.27,109.20,101.46,100.07,101.63,108.50,107.45,99.82,98.83,110.76,109.92,102.74,116.05,101.83
"OCT 2014,110.18,109.29,""_"",100.21,101.59,108.45,107.58,""_"",99.01,110.69,110.07,""_"",""_"",101.91"
"NOV 2014,110.19,109.28,""_"",99.74,101.63,108.43,107.53,""_"",98.50,110.67,110.01,""_"",""_"",101.28"
DIC 2014,110.14,108.65,101.39,99.32,101.66,108.34,106.88,99.77,98.06,110.65,109.33,102.74,115.52,100.98
"ENE 2015,109.95,107.53,""_"",98.60,101.51,108.31,105.93,""_"",97.50,110.60,108.52,""_"",""_"",100.30"
"FEB 2015,110.10,106.53,""_"",98.67,101.12,108.88,105.35,""_"",97.94,111.07,107.83,""_"",""_"",100.58"
